Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
86.80%,90,94,96.60%,60,69,9.60%,12,19,10.30%,0,1,82.00%,4,8,81.30%,4,6
30.70%,50,67,37.70%,20,27,51.20%,35,39,5.60%,0,5,58.90%,0,3,51.60%,2,4
39.50%,50,59,40.90%,30,36,75.20%,35,41,67.20%,6,10,65.20%,0,0,21.00%,2,4
73.20%,70,83,96.00%,60,66,4.60%,12,20,8.80%,0,0,3.50%,0,3,59.50%,4,6
75.30%,70,75,60.80%,30,32,92.80%,59,69,62.40%,6,9,26.00%,0,4,34.90%,2,4
21.30%,30,42,39.50%,20,23,45.70%,23,30,23.30%,0,4,73.30%,0,3,8.30%,0,1
42.50%,50,59,59.10%,30,36,39.40%,23,31,74.10%,12,15,1.60%,0,2,5.30%,0,2
38.70%,50,51,9.70%,10,20,20.80%,23,25,97.80%,24,30,62.40%,0,4,26.30%,2,3
68.30%,70,76,19.90%,20,28,73.00%,35,46,50.80%,6,12,16.60%,0,1,79.80%,4,6
81.10%,90,104,57.30%,30,35,81.60%,47,52,73.20%,12,17,38.30%,0,4,94.00%,6,8
98.30%,130,131,2.00%,10,20,34.90%,23,28,41.70%,6,8,6.30%,0,3,97.50%,6,7
43.70%,50,63,87.30%,50,54,58.80%,35,44,82.40%,12,18,32.00%,0,3,44.00%,2,3
58.00%,70,76,62.50%,30,41,21.10%,23,27,18.60%,0,7,13.30%,0,1,99.50%,8,10
39.20%,50,53,9.20%,10,23,12.00%,12,18,51.40%,6,12,47.30%,0,0,7.60%,0,0
23.00%,50,70,21.70%,20,34,6.20%,12,22,22.20%,0,0,65.50%,0,4,66.20%,4,5
24.70%,50,65,80.10%,40,52,84.30%,47,57,59.50%,6,8,48.20%,0,1,86.00%,4,5
52.50%,50,52,78.00%,40,53,74.60%,35,46,76.30%,12,20,75.80%,0,3,25.00%,2,3
39.10%,50,64,73.70%,40,52,46.40%,23,25,20.90%,0,5,41.50%,0,2,20.70%,2,3
44.70%,50,52,16.80%,20,25,56.80%,35,42,79.10%,12,19,28.20%,0,4,86.70%,4,6
80.50%,90,102,9.80%,10,17,99.30%,83,84,81.80%,12,15,55.30%,0,4,42.40%,2,4
23.00%,50,59,20.80%,20,26,94.40%,59,70,94.30%,18,21,87.80%,4,7,5.30%,0,0
17.70%,30,41,44.20%,30,42,7.90%,12,20,95.10%,18,23,73.50%,0,0,86.00%,4,6
65.50%,70,79,41.80%,30,41,69.30%,35,39,63.50%,6,12,50.00%,0,3,49.10%,2,4
66.60%,70,84,81.90%,40,48,68.70%,35,37,17.10%,0,2,4.10%,0,3,11.70%,2,3
25.80%,50,52,14.30%,10,11,10.60%,12,18,56.30%,6,8,39.50%,0,1,14.20%,2,3
10.00%,30,50,87.60%,50,63,28.90%,23,29,1.00%,0,6,61.70%,0,3,87.80%,4,6
64.90%,70,74,13.90%,10,20,21.50%,23,28,54.40%,6,7,34.40%,0,3,14.10%,2,4
23.00%,50,67,8.00%,10,21,12.30%,12,22,0.90%,0,4,46.70%,0,1,77.20%,4,6
44.40%,50,55,55.30%,30,40,93.10%,59,60,37.20%,6,7,98.70%,8,12,15.70%,2,4
83.10%,90,94,92.50%,50,53,0.90%,0,0,8.50%,0,3,9.50%,0,4,94.50%,6,8
42.20%,50,55,79.10%,40,44,89.20%,47,58,48.40%,6,7,5.80%,0,4,35.20%,2,4
54.50%,50,63,60.50%,30,43,37.10%,23,29,57.20%,6,9,36.60%,0,3,32.10%,2,3
10.90%,30,50,64.60%,30,44,67.70%,35,40,82.00%,12,18,61.00%,0,3,46.60%,2,3
21.30%,30,45,31.50%,20,32,73.60%,35,39,38.10%,6,8,68.70%,0,0,96.30%,6,7
30.10%,50,64,70.90%,40,49,77.40%,35,42,39.10%,6,12,22.90%,0,0,89.40%,6,7
82.90%,90,94,57.80%,30,35,79.60%,47,54,95.50%,18,26,36.30%,0,4,89.80%,6,7
33.60%,50,60,23.10%,20,22,45.30%,23,27,72.30%,12,15,82.40%,4,6,5.00%,0,1
81.00%,90,94,14.00%,10,21,28.90%,23,29,15.30%,0,2,22.60%,0,4,66.10%,4,5
41.20%,50,69,32.00%,20,31,78.80%,35,41,25.30%,6,11,17.40%,0,0,35.10%,2,3
10.20%,30,34,44.90%,30,40,49.10%,23,28,95.50%,18,19,46.30%,0,3,71.20%,4,5
78.80%,90,110,25.70%,20,28,16.70%,12,22,88.20%,12,19,59.30%,0,2,76.70%,4,5
9.80%,30,39,93.50%,50,56,90.20%,47,54,24.40%,6,9,30.90%,0,4,57.70%,4,6
45.50%,50,62,44.90%,30,38,11.30%,12,23,43.40%,6,12,19.70%,0,0,39.00%,2,4
85.30%,90,96,66.90%,40,44,7.70%,12,19,76.10%,12,15,20.10%,0,2,91.20%,6,7
31.30%,50,51,85.20%,50,62,16.20%,12,14,86.60%,12,20,43.30%,0,2,69.50%,4,5
76.70%,70,71,9.50%,10,17,15.20%,12,14,20.70%,0,5,24.20%,0,0,65.00%,4,6
15.10%,30,45,62.20%,30,39,50.50%,23,27,28.30%,6,12,18.40%,0,0,96.90%,6,8
45.90%,50,62,50.20%,30,39,4.50%,12,15,8.30%,0,1,0.10%,0,2,76.10%,4,5
82.00%,90,99,15.70%,10,22,57.00%,35,43,46.50%,6,11,44.20%,0,0,72.60%,4,6
92.70%,110,118,83.50%,40,41,10.30%,12,20,4.70%,0,5,65.20%,0,1,2.90%,0,0
13.40%,30,31,11.90%,10,19,32.60%,23,30,69.30%,6,11,82.30%,4,8,7.50%,0,2
16.60%,30,32,0.90%,0,8,80.80%,47,56,71.80%,12,20,11.70%,0,3,31.60%,2,4
73.00%,70,75,35.10%,20,23,90.60%,47,58,51.90%,6,12,4.80%,0,1,3.30%,0,2
8.90%,30,40,60.10%,30,41,50.80%,23,24,25.90%,6,7,90.70%,4,7,32.70%,2,3
50.60%,50,53,99.10%,70,77,74.30%,35,45,41.90%,6,7,65.90%,0,3,43.70%,2,4
77.10%,70,72,1.00%,0,1,1.40%,0,8,73.70%,12,18,83.50%,4,5,46.50%,2,4
67.90%,70,71,24.80%,20,29,51.40%,35,40,16.50%,0,4,3.10%,0,4,57.10%,4,6
69.70%,70,90,84.40%,50,51,32.60%,23,32,79.30%,12,16,36.80%,0,1,48.30%,2,4
76.40%,70,74,18.90%,20,28,20.70%,23,32,64.90%,6,8,7.30%,0,1,5.60%,0,2
82.30%,90,104,31.90%,20,31,24.50%,23,34,46.60%,6,10,17.20%,0,0,61.30%,4,5
94.40%,110,114,4.10%,10,22,4.30%,12,23,83.40%,12,20,72.00%,0,0,28.60%,2,3
59.10%,70,78,30.30%,20,25,91.30%,47,56,83.10%,12,18,3.70%,0,2,60.30%,4,6
30.20%,50,57,48.40%,30,33,9.50%,12,23,51.70%,6,11,24.00%,0,1,34.80%,2,3
6.20%,30,50,86.50%,50,61,11.50%,12,17,16.00%,0,8,22.10%,0,3,51.60%,2,4
52.70%,50,53,83.40%,40,50,24.80%,23,27,68.80%,6,11,7.90%,0,0,30.00%,2,3
30.00%,50,68,52.40%,30,38,13.70%,12,20,77.10%,12,15,56.30%,0,0,61.90%,4,6
24.20%,50,56,83.30%,40,48,12.70%,12,13,2.70%,0,1,9.00%,0,4,12.80%,2,3
1.90%,10,27,32.40%,20,33,99.90%,107,117,80.30%,12,14,34.10%,0,4,80.00%,4,5
74.50%,70,89,79.50%,40,41,7.90%,12,22,60.20%,6,8,78.00%,4,6,92.10%,6,8
19.40%,30,34,13.80%,10,17,39.60%,23,25,57.80%,6,13,72.50%,0,1,39.80%,2,3
90.10%,110,127,45.50%,30,41,97.70%,71,76,9.40%,0,4,32.20%,0,0,68.20%,4,6
19.10%,30,42,79.90%,40,45,1.10%,0,6,81.30%,12,20,91.70%,4,8,42.40%,2,4
61.20%,70,79,97.00%,60,66,18.20%,23,34,15.60%,0,8,23.60%,0,3,98.10%,8,9
59.60%,70,79,57.90%,30,36,93.10%,59,68,81.00%,12,14,45.80%,0,2,94.90%,6,8
82.50%,90,91,92.80%,50,60,30.50%,23,32,22.60%,0,1,52.70%,0,1,67.30%,4,5
97.50%,130,131,62.00%,30,35,65.70%,35,42,47.60%,6,11,4.80%,0,4,97.40%,6,8
32.50%,50,55,99.90%,80,86,66.00%,35,40,59.10%,6,9,5.50%,0,2,65.60%,4,5
70.00%,70,81,24.10%,20,33,13.80%,12,13,90.80%,18,21,18.20%,0,2,73.60%,4,6
96.30%,110,120,24.10%,20,23,30.50%,23,34,72.20%,12,14,58.80%,0,1,71.20%,4,5
58.50%,70,76,85.30%,50,55,53.00%,35,42,85.80%,12,17,53.30%,0,2,96.70%,6,7
67.20%,70,81,24.30%,20,32,17.60%,12,22,15.50%,0,0,23.80%,0,4,62.50%,4,6
71.50%,70,87,83.90%,40,49,58.10%,35,44,5.00%,0,7,72.10%,0,4,69.50%,4,6
15.80%,30,40,91.60%,50,55,73.10%,35,38,10.80%,0,3,59.20%,0,0,98.30%,8,9
51.00%,50,69,18.70%,20,32,78.30%,35,36,55.60%,6,10,78.00%,4,8,51.10%,2,3
23.80%,50,69,15.50%,10,16,26.80%,23,31,75.30%,12,15,5.50%,0,4,14.70%,2,4
0.00%,10,11,59.80%,30,43,19.90%,23,26,74.20%,12,13,36.20%,0,4,45.00%,2,4
92.80%,110,130,94.40%,60,72,29.10%,23,31,95.00%,18,20,64.90%,0,4,45.30%,2,4
67.20%,70,85,93.00%,50,56,65.00%,35,38,13.10%,0,5,84.00%,4,5,54.10%,2,3
88.30%,90,105,97.50%,60,68,3.10%,12,22,36.80%,6,9,46.40%,0,0,40.20%,2,3
8.00%,30,31,21.40%,20,33,87.20%,47,48,54.30%,6,12,69.00%,0,4,39.60%,2,3
12.60%,30,34,55.00%,30,42,24.40%,23,33,8.90%,0,1,16.00%,0,4,82.90%,4,6
36.10%,50,66,52.10%,30,34,15.80%,12,13,24.70%,6,11,54.90%,0,1,55.90%,4,5
5.00%,30,50,26.00%,20,23,18.10%,23,33,31.60%,6,7,53.80%,0,2,22.30%,2,3
33.10%,50,64,97.90%,60,69,78.70%,35,40,82.80%,12,20,65.30%,0,4,78.40%,4,6
94.00%,110,114,48.90%,30,38,99.60%,95,99,85.00%,12,20,29.00%,0,4,61.90%,4,6
15.30%,30,47,55.80%,30,33,31.30%,23,30,56.40%,6,7,91.40%,4,7,27.90%,2,3
18.20%,30,45,10.70%,10,22,86.40%,47,58,93.60%,18,26,45.10%,0,0,17.90%,2,3
84.50%,90,93,30.00%,20,32,28.80%,23,25,19.90%,0,6,95.40%,8,10,64.30%,4,6
36.70%,50,70,88.40%,50,59,52.60%,35,38,70.70%,6,7,59.90%,0,3,35.10%,2,3
52.30%,50,57,61.00%,30,33,47.70%,23,26,21.80%,0,8,25.60%,0,4,80.10%,4,5
60.30%,70,77,32.30%,20,29,49.20%,23,27,2.20%,0,0,17.40%,0,2,80.10%,4,6
39.40%,50,60,92.70%,50,53,78.30%,35,36,27.90%,6,9,27.40%,0,2,43.60%,2,4
23.60%,50,57,42.00%,30,34,50.20%,23,29,47.70%,6,7,8.80%,0,2,26.70%,2,3
54.60%,50,68,20.10%,20,23,33.40%,23,27,26.30%,6,13,28.30%,0,3,1.80%,0,0
3.40%,10,12,28.60%,20,26,29.80%,23,34,93.20%,18,21,19.30%,0,2,65.50%,4,5
73.80%,70,85,51.50%,30,32,1.20%,0,9,88.70%,12,17,1.70%,0,2,61.30%,4,6
59.60%,70,76,3.20%,10,11,99.80%,95,105,12.10%,0,8,16.50%,0,0,56.60%,4,5
15.00%,30,34,22.70%,20,34,86.10%,47,49,81.40%,12,18,23.90%,0,0,71.60%,4,5
9.80%,30,43,68.80%,40,53,28.10%,23,32,98.90%,24,26,24.60%,0,2,85.90%,4,5
47.70%,50,58,85.40%,50,63,49.60%,23,30,23.70%,6,14,21.50%,0,2,81.10%,4,5
25.40%,50,53,9.90%,10,19,86.20%,47,50,83.40%,12,19,38.10%,0,4,57.30%,4,6
63.90%,70,83,71.10%,40,43,94.60%,59,65,74.90%,12,17,50.20%,0,4,47.50%,2,3
94.00%,110,117,87.00%,50,51,69.10%,35,46,56.90%,6,7,27.60%,0,2,58.70%,4,6
53.60%,50,57,96.50%,60,73,24.00%,23,30,70.10%,6,10,3.50%,0,4,31.20%,2,4
11.70%,30,46,55.70%,30,42,89.30%,47,51,23.90%,6,9,12.50%,0,2,8.00%,0,1
79.80%,90,107,25.70%,20,29,88.10%,47,50,73.90%,12,15,52.20%,0,2,81.70%,4,5
43.90%,50,54,99.90%,80,88,24.40%,23,26,97.60%,24,30,55.20%,0,2,10.70%,2,3
89.50%,90,99,50.90%,30,32,86.60%,47,52,81.40%,12,16,80.30%,4,7,53.10%,2,3
95.20%,110,118,27.50%,20,22,16.40%,12,17,13.00%,0,1,87.40%,4,5,42.50%,2,3
77.80%,70,79,77.40%,40,44,77.00%,35,38,5.00%,0,6,78.80%,4,7,22.30%,2,4
27.50%,50,54,89.80%,50,57,80.40%,47,53,2.00%,0,7,17.50%,0,1,86.80%,4,6
62.20%,70,75,40.90%,30,38,14.70%,12,19,69.10%,6,11,81.10%,4,7,67.60%,4,5
14.80%,30,32,50.40%,30,32,0.00%,0,6,39.10%,6,10,96.40%,8,10,81.20%,4,5
4.30%,10,16,3.70%,10,22,98.50%,71,77,6.20%,0,0,57.90%,0,4,57.90%,4,5
51.60%,50,68,96.90%,60,67,34.00%,23,25,4.80%,0,4,99.20%,12,16,22.20%,2,3
35.50%,50,59,37.10%,20,30,59.60%,35,42,74.30%,12,13,26.00%,0,1,49.20%,2,4
10.10%,30,50,18.70%,20,32,39.00%,23,33,43.60%,6,14,35.80%,0,1,79.20%,4,5
14.80%,30,36,45.30%,30,33,24.30%,23,24,64.60%,6,10,65.50%,0,1,31.60%,2,3
26.80%,50,65,24.50%,20,32,63.20%,35,41,98.80%,24,32,28.70%,0,0,44.40%,2,4
37.70%,50,66,2.40%,10,19,11.40%,12,23,58.90%,6,7,55.60%,0,3,94.80%,6,7
83.30%,90,93,45.10%,30,35,82.80%,47,57,76.80%,12,16,30.40%,0,4,78.90%,4,5
77.40%,70,85,93.50%,50,60,49.20%,23,33,64.50%,6,14,62.20%,0,3,3.50%,0,0
38.60%,50,60,31.00%,20,32,28.10%,23,32,89.30%,12,14,48.80%,0,1,76.90%,4,5
10.60%,30,33,74.80%,40,53,93.50%,59,64,38.20%,6,12,85.00%,4,8,98.10%,8,10
56.50%,70,82,67.70%,40,51,89.40%,47,50,0.50%,0,8,31.40%,0,0,3.80%,0,1
45.00%,50,58,16.30%,10,21,78.80%,35,38,45.60%,6,14,69.10%,0,3,66.30%,4,6
17.30%,30,43,49.00%,30,34,32.60%,23,30,38.40%,6,11,49.60%,0,3,35.50%,2,4
35.20%,50,65,84.10%,40,41,5.20%,12,16,31.90%,6,13,13.10%,0,3,0.00%,0,1
8.10%,30,48,9.00%,10,22,20.10%,23,28,4.70%,0,3,44.40%,0,3,34.80%,2,3
67.30%,70,71,62.10%,30,35,56.90%,35,41,32.90%,6,7,71.70%,0,0,26.60%,2,3
52.60%,50,59,46.90%,30,35,93.40%,59,65,28.20%,6,7,22.30%,0,2,21.50%,2,3
94.90%,110,111,60.10%,30,33,6.70%,12,15,98.50%,24,32,44.40%,0,3,65.90%,4,6
78.90%,90,101,97.00%,60,64,67.50%,35,46,88.10%,12,18,39.80%,0,4,63.90%,4,6
63.90%,70,84,68.40%,40,52,25.10%,23,24,38.40%,6,7,89.10%,4,7,49.60%,2,3
97.00%,130,134,23.30%,20,29,39.50%,23,25,78.30%,12,20,35.40%,0,3,36.30%,2,4
46.00%,50,55,3.70%,10,21,93.00%,59,60,31.80%,6,8,72.30%,0,2,49.00%,2,4
61.40%,70,78,19.90%,20,33,54.30%,35,38,90.80%,18,22,60.80%,0,3,29.10%,2,4
69.00%,70,81,78.30%,40,52,84.50%,47,52,49.20%,6,14,25.20%,0,0,24.50%,2,3
61.60%,70,90,3.10%,10,19,93.70%,59,61,45.90%,6,11,34.30%,0,1,63.90%,4,6
47.40%,50,51,40.80%,30,34,36.20%,23,32,39.80%,6,14,62.40%,0,4,44.90%,2,4
4.20%,10,12,8.30%,10,14,79.40%,47,50,55.30%,6,9,5.80%,0,0,98.50%,8,9
63.40%,70,87,5.50%,10,18,42.10%,23,29,9.90%,0,2,20.20%,0,1,52.90%,2,4
14.40%,30,38,87.50%,50,59,63.50%,35,37,47.70%,6,7,19.10%,0,2,96.30%,6,8
65.60%,70,86,49.70%,30,43,84.70%,47,49,96.80%,18,21,19.70%,0,0,2.80%,0,1
82.20%,90,96,4.00%,10,19,33.90%,23,29,36.70%,6,8,30.30%,0,3,81.70%,4,6
52.80%,50,69,23.30%,20,29,56.70%,35,42,81.70%,12,18,54.70%,0,4,77.30%,4,5
53.00%,50,69,93.90%,50,59,10.90%,12,16,42.70%,6,8,60.40%,0,3,2.10%,0,1
11.30%,30,46,57.70%,30,36,92.80%,59,69,59.80%,6,10,65.90%,0,3,58.40%,4,5
14.00%,30,31,5.30%,10,19,57.40%,35,36,77.50%,12,15,79.80%,4,6,21.20%,2,3
16.00%,30,47,46.20%,30,31,63.00%,35,39,6.10%,0,0,20.90%,0,3,66.10%,4,5
38.40%,50,57,11.30%,10,22,47.40%,23,30,32.00%,6,9,70.80%,0,0,74.50%,4,5
82.60%,90,104,27.90%,20,31,25.40%,23,30,64.80%,6,9,60.50%,0,1,76.10%,4,5
35.10%,50,68,51.60%,30,44,54.50%,35,41,14.20%,0,1,42.50%,0,2,30.50%,2,4
44.10%,50,62,64.60%,30,41,48.20%,23,27,36.60%,6,13,63.60%,0,4,46.90%,2,4
48.40%,50,66,88.90%,50,59,47.60%,23,33,41.30%,6,7,63.00%,0,4,25.50%,2,4
86.20%,90,99,20.30%,20,22,20.50%,23,28,73.00%,12,14,95.10%,4,7,38.40%,2,3
65.70%,70,80,41.40%,30,42,46.90%,23,32,82.80%,12,19,82.90%,4,7,26.20%,2,3
13.10%,30,49,43.30%,30,35,73.90%,35,40,98.70%,24,30,9.20%,0,1,30.90%,2,4
22.50%,50,65,65.70%,30,43,67.70%,35,41,68.50%,6,9,88.90%,4,6,38.60%,2,4
85.70%,90,99,92.20%,50,62,17.00%,12,23,23.20%,0,3,53.40%,0,0,3.10%,0,2
51.40%,50,52,64.70%,30,43,93.90%,59,65,46.70%,6,10,96.80%,8,10,25.20%,2,4
86.70%,90,102,38.30%,20,27,81.80%,47,58,32.00%,6,14,51.60%,0,4,4.60%,0,0
53.20%,50,59,55.20%,30,44,94.60%,59,66,99.90%,48,51,73.70%,0,1,24.30%,2,4
75.20%,70,80,20.90%,20,34,57.50%,35,44,54.40%,6,10,81.10%,4,6,53.00%,2,4
88.60%,90,102,62.30%,30,43,71.30%,35,36,81.10%,12,14,12.80%,0,4,59.40%,4,5
22.90%,50,59,98.40%,60,62,5.20%,12,15,25.00%,6,9,29.20%,0,1,73.90%,4,5
99.80%,150,159,90.80%,50,54,60.00%,35,39,20.30%,0,0,28.50%,0,3,76.90%,4,6
11.30%,30,32,73.50%,40,51,48.00%,23,29,2.10%,0,7,32.40%,0,4,2.30%,0,1
92.20%,110,111,18.80%,20,29,67.20%,35,44,5.70%,0,1,47.80%,0,2,94.30%,6,8
68.60%,70,71,14.80%,10,23,5.70%,12,17,96.30%,18,24,38.80%,0,4,33.00%,2,4
84.40%,90,101,47.60%,30,44,99.40%,83,92,67.90%,6,7,50.80%,0,2,71.50%,4,6
44.90%,50,60,14.60%,10,22,19.80%,23,33,41.50%,6,8,64.60%,0,2,87.00%,4,6
4.70%,10,16,38.20%,20,31,14.40%,12,17,77.40%,12,17,13.60%,0,0,25.60%,2,3
60.20%,70,85,52.00%,30,33,92.50%,59,66,92.90%,18,20,52.50%,0,4,96.40%,6,8
62.30%,70,88,62.40%,30,42,43.20%,23,31,14.50%,0,6,98.80%,8,9,96.40%,6,7
79.60%,90,100,49.80%,30,37,68.10%,35,45,43.20%,6,9,32.10%,0,0,55.60%,4,6
96.00%,110,111,44.40%,30,42,52.60%,35,37,17.60%,0,0,63.80%,0,0,65.70%,4,6
14.20%,30,39,42.80%,30,33,39.80%,23,31,77.60%,12,13,68.30%,0,4,76.20%,4,5
46.90%,50,58,81.30%,40,51,89.40%,47,48,84.60%,12,16,55.80%,0,0,64.50%,4,6
55.00%,70,90,19.40%,20,28,56.10%,35,38,32.70%,6,8,91.80%,4,5,4.70%,0,1
50.70%,50,63,3.40%,10,24,83.60%,47,55,75.60%,12,16,62.50%,0,2,25.90%,2,4
82.90%,90,110,62.10%,30,40,10.50%,12,14,46.00%,6,10,7.60%,0,3,8.70%,0,2
7.10%,30,37,81.30%,40,46,12.00%,12,20,57.90%,6,12,86.50%,4,8,11.20%,2,3
89.20%,90,101,21.10%,20,24,66.20%,35,37,95.70%,18,24,68.40%,0,2,42.70%,2,3
99.10%,130,132,60.90%,30,42,61.80%,35,37,97.60%,24,28,59.00%,0,0,49.30%,2,4
70.80%,70,85,95.00%,60,62,5.80%,12,13,72.90%,12,19,89.60%,4,5,34.90%,2,3
51.70%,50,61,25.60%,20,30,32.50%,23,33,46.30%,6,14,19.40%,0,0,39.90%,2,4
43.70%,50,69,14.90%,10,16,44.60%,23,34,50.40%,6,12,46.10%,0,3,49.00%,2,4
99.10%,130,132,48.50%,30,32,38.10%,23,32,4.30%,0,5,45.90%,0,0,42.10%,2,3
