Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
24.20%,40,60,10.20%,11,22,66.40%,42,45,20.90%,0,7,9.00%,0,3,77.40%,4,5
71.40%,80,82,64.20%,33,36,8.60%,14,20,87.10%,12,13,56.20%,0,2,57.60%,4,6
74.10%,80,96,10.10%,11,14,6.90%,14,17,93.50%,18,26,12.90%,0,1,19.80%,2,4
23.20%,40,53,50.90%,33,42,48.80%,28,31,15.40%,0,1,55.90%,0,1,29.00%,2,3
16.00%,40,59,41.90%,22,32,23.30%,28,37,29.10%,6,13,44.20%,0,1,24.60%,2,4
46.60%,60,72,94.60%,55,56,76.80%,42,52,7.90%,0,0,69.60%,4,7,20.60%,2,3
24.20%,40,43,77.40%,44,45,5.60%,14,16,32.80%,6,8,49.20%,0,2,42.80%,2,3
16.30%,40,43,77.00%,44,51,64.00%,42,49,3.60%,0,5,44.70%,0,1,67.40%,4,6
2.20%,20,33,13.70%,11,24,84.00%,42,51,78.20%,12,19,58.20%,0,2,14.00%,2,3
12.30%,40,57,29.00%,22,25,39.90%,28,31,38.40%,6,10,37.10%,0,2,23.00%,2,3
39.70%,60,68,66.00%,33,34,12.40%,14,24,65.50%,6,14,73.70%,4,6,53.70%,4,6
8.90%,20,21,69.00%,33,47,48.20%,28,36,8.60%,0,6,93.40%,8,9,41.30%,2,3
4.00%,20,31,23.20%,22,29,79.70%,42,47,34.30%,6,14,46.60%,0,3,22.80%,2,4
60.20%,80,85,64.10%,33,36,11.80%,14,16,20.20%,0,0,40.30%,0,1,72.10%,4,6
48.60%,60,71,92.40%,55,61,21.90%,28,32,71.00%,12,17,75.10%,4,7,48.30%,4,6
89.50%,100,117,31.30%,22,31,51.60%,28,34,9.50%,0,2,95.00%,8,11,56.40%,4,5
30.30%,60,79,20.70%,22,33,41.50%,28,35,63.70%,6,12,8.30%,0,3,35.30%,2,3
8.90%,20,33,89.40%,55,61,25.50%,28,35,56.40%,6,13,54.50%,0,3,35.90%,2,4
30.60%,60,71,14.80%,11,14,88.20%,56,61,69.90%,12,16,87.50%,4,7,80.60%,4,5
27.80%,40,52,21.60%,22,26,50.60%,28,36,58.70%,6,14,77.50%,4,5,23.10%,2,3
16.50%,40,49,92.10%,55,59,11.80%,14,18,26.40%,0,8,32.50%,0,4,51.20%,4,5
29.30%,40,60,28.90%,22,29,5.30%,14,24,15.50%,0,3,42.40%,0,3,33.30%,2,4
76.50%,80,96,15.90%,11,15,31.70%,28,30,18.00%,0,7,51.10%,0,1,2.60%,0,2
50.80%,60,77,76.80%,44,56,72.20%,42,44,79.70%,12,14,36.20%,0,2,65.50%,4,6
68.20%,80,84,58.90%,33,36,61.40%,42,49,83.70%,12,16,22.70%,0,4,9.00%,0,1
83.00%,100,105,74.80%,44,58,62.80%,42,44,29.60%,6,7,20.00%,0,4,29.10%,2,3
3.70%,20,25,26.20%,22,28,30.30%,28,31,4.60%,0,3,23.00%,0,1,50.70%,4,5
33.20%,60,79,33.40%,22,25,43.10%,28,31,54.90%,6,12,86.70%,4,8,88.30%,6,8
11.10%,40,53,87.40%,44,46,11.60%,14,21,38.60%,6,13,18.30%,0,0,28.80%,2,3
3.50%,20,26,96.40%,66,67,57.00%,28,29,24.80%,0,0,46.70%,0,4,10.30%,2,4
85.10%,100,117,14.10%,11,12,22.40%,28,30,21.90%,0,0,56.40%,0,1,45.90%,2,4
5.40%,20,25,46.70%,33,40,88.30%,56,66,68.40%,6,8,54.10%,0,1,15.60%,2,4
28.10%,40,43,17.20%,11,12,58.60%,28,31,14.20%,0,2,28.70%,0,1,30.30%,2,3
40.10%,60,75,81.00%,44,51,46.70%,28,33,42.70%,6,11,38.40%,0,0,1.50%,0,0
63.80%,80,92,2.20%,11,16,35.80%,28,29,39.70%,6,8,13.90%,0,0,96.80%,6,7
69.70%,80,93,60.20%,33,44,39.70%,28,33,33.90%,6,14,18.10%,0,3,26.50%,2,3
31.30%,60,80,93.60%,55,67,92.50%,56,57,44.50%,6,7,57.50%,0,1,94.80%,6,8
96.40%,140,160,16.20%,11,22,75.10%,42,45,54.90%,6,10,83.60%,4,8,41.60%,2,3
88.70%,100,115,9.60%,11,24,92.30%,56,64,34.90%,6,11,78.30%,4,6,12.00%,2,4
86.10%,100,113,64.20%,33,38,34.70%,28,31,91.20%,18,21,5.70%,0,0,49.80%,4,6
5.90%,20,30,17.00%,11,14,5.10%,14,17,39.70%,6,13,56.60%,0,3,98.20%,8,10
48.70%,60,80,54.80%,33,46,69.70%,42,45,47.60%,6,14,42.50%,0,3,83.90%,4,5
24.40%,40,54,58.40%,33,34,26.90%,28,31,97.40%,24,26,77.50%,4,7,61.60%,4,5
36.70%,60,63,81.70%,44,48,71.60%,42,44,73.30%,12,13,84.50%,4,7,50.20%,4,5
36.40%,60,78,4.20%,11,16,86.30%,42,43,74.40%,12,15,16.10%,0,2,60.00%,4,5
96.00%,140,143,12.30%,11,14,12.30%,14,16,54.20%,6,9,45.70%,0,0,2.40%,0,1
62.00%,80,99,30.60%,22,26,5.00%,14,16,59.90%,6,10,46.70%,0,0,47.80%,2,4
0.40%,0,19,63.10%,33,40,69.70%,42,46,54.00%,6,7,41.90%,0,4,31.40%,2,3
16.40%,40,42,85.40%,44,56,11.50%,14,17,29.60%,6,11,67.60%,4,5,19.00%,2,4
98.60%,140,155,36.60%,22,33,30.40%,28,37,43.90%,6,11,66.60%,4,5,81.30%,4,6
76.70%,80,93,8.20%,11,13,15.70%,14,20,74.80%,12,14,7.40%,0,4,86.40%,6,7
75.30%,80,97,30.30%,22,27,24.70%,28,34,65.70%,6,11,49.70%,0,3,7.10%,0,1
28.20%,40,56,52.90%,33,42,40.20%,28,31,17.60%,0,1,47.30%,0,0,68.50%,4,6
92.10%,120,139,52.90%,33,45,89.20%,56,67,31.80%,6,7,34.80%,0,0,40.60%,2,4
64.10%,80,87,78.00%,44,50,70.90%,42,51,90.80%,18,26,56.70%,0,1,27.40%,2,4
65.90%,80,99,5.70%,11,13,81.10%,42,49,34.60%,6,8,0.30%,0,4,39.30%,2,3
73.20%,80,93,15.40%,11,21,49.70%,28,39,8.20%,0,3,46.60%,0,0,58.40%,4,5
19.40%,40,50,30.80%,22,31,17.40%,14,19,62.60%,6,7,72.20%,4,6,7.00%,0,1
7.30%,20,33,39.70%,22,36,38.80%,28,29,69.70%,12,17,23.70%,0,4,87.10%,6,8
12.60%,40,45,82.30%,44,47,49.50%,28,35,22.50%,0,2,76.90%,4,5,27.50%,2,4
24.10%,40,50,3.20%,11,19,53.60%,28,33,76.00%,12,18,51.70%,0,2,99.40%,10,11
11.80%,40,46,46.10%,33,40,85.20%,42,44,33.60%,6,13,78.50%,4,8,65.10%,4,6
19.40%,40,59,12.90%,11,21,99.90%,98,103,16.40%,0,8,70.80%,4,8,2.60%,0,2
78.90%,100,104,36.30%,22,33,83.40%,42,49,75.40%,12,18,57.00%,0,3,37.40%,2,3
74.20%,80,99,18.20%,22,36,68.40%,42,47,88.10%,12,15,59.10%,0,1,82.80%,4,5
62.40%,80,96,3.00%,11,20,58.60%,28,34,66.20%,6,9,69.80%,4,6,38.20%,2,4
37.60%,60,68,94.80%,55,68,19.40%,28,37,86.90%,12,16,83.30%,4,6,67.30%,4,5
24.40%,40,53,66.00%,33,34,85.80%,42,45,76.60%,12,20,85.10%,4,6,92.90%,6,8
52.30%,60,66,20.90%,22,29,15.70%,14,16,54.20%,6,8,37.90%,0,3,66.90%,4,5
78.90%,100,118,69.40%,33,44,0.80%,0,2,2.70%,0,6,71.80%,4,7,34.20%,2,3
37.20%,60,69,89.20%,55,58,93.40%,56,67,82.60%,12,14,22.20%,0,0,48.30%,4,6
91.70%,120,121,38.60%,22,25,66.20%,42,47,71.70%,12,20,43.40%,0,4,23.40%,2,4
82.40%,100,114,99.10%,77,87,75.70%,42,46,71.30%,12,18,98.80%,16,17,63.10%,4,5
72.60%,80,81,25.20%,22,30,52.20%,28,37,8.60%,0,0,0.50%,0,4,55.20%,4,5
75.90%,80,99,91.00%,55,56,39.20%,28,30,34.40%,6,12,86.30%,4,6,44.80%,2,3
99.50%,160,170,65.90%,33,44,78.90%,42,49,84.20%,12,16,36.90%,0,0,45.60%,2,3
70.50%,80,94,68.20%,33,47,32.90%,28,29,2.00%,0,2,19.50%,0,3,99.90%,12,14
38.20%,60,71,67.00%,33,36,18.40%,14,17,80.00%,12,20,22.70%,0,0,17.80%,2,3
76.40%,80,90,79.50%,44,52,71.90%,42,46,30.10%,6,12,62.90%,0,3,93.80%,6,7
92.00%,120,127,86.70%,44,58,76.50%,42,47,67.40%,6,10,67.00%,4,6,84.00%,4,5
12.60%,40,44,13.30%,11,15,89.80%,56,62,42.00%,6,7,75.20%,4,8,31.30%,2,3
7.20%,20,24,16.40%,11,14,21.20%,28,34,19.60%,0,3,70.40%,4,7,49.50%,4,6
2.50%,20,30,48.40%,33,40,25.10%,28,31,40.50%,6,8,32.60%,0,0,90.80%,6,8
16.50%,40,53,24.40%,22,25,82.70%,42,44,46.90%,6,14,4.60%,0,2,79.00%,4,5
31.40%,60,65,92.20%,55,62,59.20%,28,33,45.50%,6,10,12.70%,0,1,6.50%,0,1
11.40%,40,60,77.50%,44,45,15.40%,14,19,19.70%,0,4,3.40%,0,4,27.80%,2,4
88.10%,100,111,74.70%,44,47,54.40%,28,36,55.10%,6,10,23.90%,0,0,52.10%,4,5
11.10%,40,58,5.90%,11,12,47.10%,28,35,89.70%,18,26,91.30%,8,10,11.10%,2,3
64.40%,80,90,85.90%,44,46,82.70%,42,48,1.10%,0,5,18.30%,0,3,12.30%,2,4
76.20%,80,83,52.00%,33,36,56.20%,28,34,4.80%,0,1,51.10%,0,1,8.60%,0,1
33.30%,60,78,9.20%,11,16,83.30%,42,47,48.30%,6,14,11.00%,0,0,8.10%,0,2
68.80%,80,85,72.10%,44,54,71.00%,42,47,0.50%,0,5,87.30%,4,5,73.50%,4,6
47.80%,60,77,0.90%,0,2,66.50%,42,47,68.90%,12,14,22.00%,0,1,57.90%,4,6
74.40%,80,87,72.90%,44,54,10.20%,14,17,28.10%,6,14,37.10%,0,0,41.90%,2,3
91.10%,120,133,52.10%,33,38,36.60%,28,37,57.50%,6,8,84.70%,4,6,84.70%,4,6
4.00%,20,21,85.10%,44,50,4.60%,14,19,85.90%,12,20,63.20%,0,4,56.60%,4,6
62.00%,80,88,98.00%,66,78,68.20%,42,45,18.50%,0,7,98.50%,12,15,72.10%,4,5
10.60%,40,45,36.80%,22,32,38.10%,28,32,77.80%,12,18,91.10%,8,9,14.70%,2,4
28.20%,40,50,62.50%,33,47,37.90%,28,35,68.60%,6,9,27.20%,0,0,98.30%,8,9
93.80%,120,125,38.20%,22,23,6.70%,14,15,44.60%,6,11,75.10%,4,5,71.90%,4,5
30.10%,60,65,45.20%,33,43,18.20%,14,19,36.90%,6,13,26.40%,0,0,44.60%,2,4
73.20%,80,97,23.00%,22,29,41.10%,28,32,49.80%,6,11,73.40%,4,7,65.90%,4,6
62.40%,80,95,41.00%,22,32,34.80%,28,32,75.80%,12,13,68.30%,4,7,64.20%,4,5
76.30%,80,83,5.00%,11,23,16.50%,14,19,43.80%,6,8,96.60%,12,16,30.20%,2,3
91.10%,120,138,75.40%,44,50,8.40%,14,21,3.20%,0,1,88.50%,8,9,54.10%,4,5
86.30%,100,119,67.20%,33,35,57.10%,28,39,64.60%,6,11,0.00%,0,1,14.40%,2,3
40.70%,60,66,12.70%,11,20,55.10%,28,38,99.40%,30,33,2.90%,0,0,92.70%,6,7
96.30%,140,141,20.70%,22,28,39.10%,28,35,7.90%,0,6,85.20%,4,6,6.40%,0,0
99.70%,160,162,51.50%,33,39,34.80%,28,39,69.40%,12,17,4.90%,0,1,90.20%,6,7
18.60%,40,57,15.60%,11,18,9.90%,14,24,56.90%,6,9,30.80%,0,3,8.00%,0,1
50.90%,60,77,35.40%,22,26,91.60%,56,61,23.70%,0,0,8.00%,0,3,25.10%,2,4
54.00%,60,68,76.20%,44,48,62.80%,42,50,9.10%,0,1,45.40%,0,2,68.30%,4,5
43.20%,60,66,33.50%,22,31,40.30%,28,33,16.80%,0,1,17.90%,0,0,95.90%,6,7
56.20%,60,77,26.40%,22,27,68.30%,42,51,48.30%,6,7,0.50%,0,0,46.80%,2,4
27.20%,40,48,54.80%,33,42,58.40%,28,31,41.90%,6,7,2.10%,0,0,49.50%,4,5
71.20%,80,81,19.20%,22,28,27.10%,28,39,74.00%,12,18,13.40%,0,4,22.20%,2,3
100.00%,180,183,74.20%,44,49,61.50%,42,46,6.40%,0,3,63.60%,0,2,26.40%,2,4
26.50%,40,60,96.20%,66,79,41.40%,28,39,20.40%,0,2,10.20%,0,4,62.70%,4,6
43.10%,60,76,28.00%,22,28,60.30%,28,30,75.30%,12,18,54.50%,0,2,12.20%,2,3
19.50%,40,43,98.90%,77,78,42.20%,28,35,30.80%,6,10,28.60%,0,0,27.00%,2,3
8.10%,20,35,60.60%,33,34,46.50%,28,38,80.80%,12,13,95.20%,8,12,46.40%,2,4
70.70%,80,92,88.20%,44,54,50.30%,28,31,41.90%,6,13,60.30%,0,1,37.30%,2,3
60.20%,80,93,43.40%,33,34,69.80%,42,48,71.20%,12,17,66.80%,4,5,39.60%,2,4
63.40%,80,87,59.30%,33,42,11.10%,14,25,13.20%,0,6,77.30%,4,7,60.70%,4,6
59.30%,80,81,62.90%,33,43,80.50%,42,48,26.10%,0,8,51.90%,0,2,63.60%,4,6
93.40%,120,140,8.20%,11,24,38.90%,28,32,65.60%,6,12,7.60%,0,1,23.70%,2,4
40.50%,60,73,68.00%,33,35,14.40%,14,25,65.80%,6,7,15.60%,0,3,67.10%,4,6
59.90%,80,89,89.80%,55,68,46.60%,28,39,97.00%,24,31,89.40%,8,11,79.10%,4,6
74.50%,80,94,47.60%,33,34,21.70%,28,29,52.70%,6,13,96.40%,12,13,28.10%,2,4
88.40%,100,105,23.00%,22,33,58.00%,28,36,8.20%,0,8,47.90%,0,2,94.20%,6,8
13.30%,40,59,69.30%,33,35,29.40%,28,31,42.00%,6,14,67.50%,4,7,73.80%,4,5
22.70%,40,45,61.60%,33,39,80.90%,42,46,93.30%,18,19,44.80%,0,3,94.80%,6,8
77.50%,80,81,61.20%,33,37,25.70%,28,38,4.70%,0,2,82.20%,4,6,11.00%,2,4
25.10%,40,42,47.70%,33,43,37.70%,28,32,40.30%,6,8,78.90%,4,8,78.20%,4,5
27.40%,40,44,65.50%,33,44,50.20%,28,29,4.10%,0,1,51.40%,0,3,14.90%,2,4
0.00%,0,15,39.20%,22,32,64.20%,42,51,44.60%,6,11,99.80%,20,21,16.40%,2,4
28.10%,40,59,93.50%,55,64,10.10%,14,24,72.00%,12,16,49.50%,0,4,11.20%,2,4
7.20%,20,22,32.30%,22,26,84.90%,42,43,66.40%,6,9,77.90%,4,5,65.80%,4,6
15.10%,40,49,80.70%,44,47,78.50%,42,48,36.70%,6,9,1.90%,0,4,46.20%,2,3
40.40%,60,61,35.10%,22,26,10.00%,14,24,65.70%,6,11,73.30%,4,5,31.90%,2,4
39.60%,60,63,83.90%,44,58,92.20%,56,60,29.50%,6,8,89.20%,8,12,30.00%,2,3
58.00%,80,100,63.00%,33,44,87.00%,42,50,51.20%,6,14,36.90%,0,3,49.20%,4,5
38.40%,60,66,95.80%,66,72,76.10%,42,46,15.10%,0,6,65.60%,4,6,39.20%,2,3
18.80%,40,44,90.00%,55,68,96.60%,70,74,54.30%,6,9,45.30%,0,1,89.20%,6,7
62.00%,80,90,45.50%,33,38,13.10%,14,17,0.80%,0,1,60.10%,0,1,97.20%,6,7
67.70%,80,92,55.70%,33,40,76.40%,42,52,51.10%,6,9,34.20%,0,1,44.50%,2,4
87.60%,100,119,13.00%,11,18,11.30%,14,25,87.90%,12,13,97.80%,12,16,93.00%,6,8
74.70%,80,82,96.20%,66,80,57.40%,28,34,51.40%,6,10,4.40%,0,2,26.50%,2,3
79.50%,100,104,39.80%,22,36,49.00%,28,33,4.30%,0,8,92.30%,8,10,26.20%,2,3
39.70%,60,67,62.30%,33,41,11.60%,14,24,44.60%,6,11,82.50%,4,8,87.60%,6,7
55.50%,60,61,76.10%,44,51,8.70%,14,24,55.40%,6,14,64.00%,0,2,56.80%,4,5
68.90%,80,94,54.60%,33,35,97.90%,70,76,62.80%,6,10,48.90%,0,0,32.20%,2,4
32.00%,60,68,53.90%,33,44,94.10%,56,59,9.70%,0,0,57.90%,0,2,28.00%,2,3
8.30%,20,34,24.20%,22,36,61.10%,28,30,16.10%,0,0,91.60%,8,9,25.90%,2,3
15.70%,40,57,14.20%,11,13,26.50%,28,33,30.20%,6,10,99.80%,20,21,94.20%,6,7
2.30%,20,27,44.00%,33,36,54.20%,28,33,71.30%,12,13,88.50%,8,9,65.90%,4,6
45.90%,60,80,95.90%,66,74,98.20%,70,75,10.20%,0,3,50.20%,0,3,12.70%,2,4
59.70%,80,95,12.20%,11,14,34.00%,28,36,36.00%,6,12,98.90%,16,18,33.20%,2,4
91.90%,120,124,17.60%,11,14,20.60%,28,32,72.90%,12,20,73.90%,4,8,32.70%,2,4
49.70%,60,72,12.10%,11,24,73.20%,42,50,54.40%,6,9,18.60%,0,1,59.20%,4,5
26.40%,40,48,49.30%,33,37,29.60%,28,38,84.40%,12,17,61.60%,0,3,67.10%,4,5
76.30%,80,98,57.00%,33,41,88.40%,56,63,97.50%,24,29,72.00%,4,7,60.00%,4,6
16.50%,40,54,78.50%,44,50,36.60%,28,38,65.80%,6,9,50.80%,0,2,66.50%,4,6
55.10%,60,78,44.50%,33,43,27.00%,28,36,94.70%,18,26,33.90%,0,1,23.10%,2,4
45.20%,60,69,99.70%,88,97,37.60%,28,37,8.00%,0,8,18.40%,0,2,0.60%,0,0
46.40%,60,74,38.10%,22,35,58.70%,28,38,17.20%,0,3,63.80%,0,3,94.60%,6,7
44.30%,60,79,76.40%,44,45,5.90%,14,25,3.30%,0,8,42.60%,0,0,96.30%,6,7
3.00%,20,29,49.20%,33,45,93.60%,56,67,16.00%,0,1,31.10%,0,4,28.10%,2,4
31.80%,60,71,72.70%,44,46,83.40%,42,49,53.00%,6,13,89.10%,8,12,19.60%,2,4
20.40%,40,57,23.00%,22,33,91.90%,56,59,77.90%,12,15,5.40%,0,0,51.10%,4,5
1.00%,0,15,26.90%,22,31,15.50%,14,25,47.50%,6,7,95.60%,12,15,24.50%,2,4
25.20%,40,58,2.50%,11,20,26.90%,28,39,3.00%,0,0,5.90%,0,2,91.90%,6,7
60.90%,80,87,7.00%,11,20,20.00%,28,33,97.40%,24,27,49.70%,0,2,98.20%,8,10
71.90%,80,81,59.90%,33,40,47.50%,28,38,94.90%,18,21,55.40%,0,0,17.20%,2,4
20.70%,40,49,54.00%,33,43,61.30%,42,52,24.30%,0,0,61.60%,0,0,46.10%,2,3
31.30%,60,62,38.20%,22,28,13.90%,14,22,65.70%,6,13,81.70%,4,8,4.50%,0,0
13.20%,40,55,16.30%,11,25,1.90%,14,15,60.90%,6,8,63.30%,0,1,87.80%,6,8
23.60%,40,52,16.80%,11,19,16.40%,14,22,17.90%,0,3,83.60%,4,7,94.90%,6,7
50.20%,60,66,98.70%,66,76,92.00%,56,65,12.80%,0,5,64.90%,4,5,9.30%,0,2
50.70%,60,68,24.00%,22,26,63.60%,42,47,91.50%,18,19,20.90%,0,2,42.70%,2,4
76.50%,80,91,81.70%,44,51,18.40%,14,23,68.40%,6,10,98.20%,12,13,26.00%,2,3
28.30%,40,41,23.80%,22,28,41.60%,28,37,36.90%,6,10,58.50%,0,4,39.80%,2,4
74.00%,80,82,24.60%,22,26,100.00%,126,136,8.10%,0,5,82.00%,4,6,59.30%,4,6
58.60%,80,90,66.30%,33,37,3.40%,14,15,87.90%,12,14,64.80%,4,6,79.10%,4,5
42.10%,60,78,56.90%,33,47,59.40%,28,38,40.80%,6,7,88.10%,4,6,78.70%,4,6
48.40%,60,61,17.80%,22,25,77.00%,42,47,45.60%,6,12,24.10%,0,3,59.00%,4,5
46.40%,60,78,37.20%,22,32,19.20%,28,39,25.20%,0,6,23.20%,0,2,10.40%,2,4
14.70%,40,53,98.00%,66,72,65.00%,42,53,54.10%,6,9,7.60%,0,4,70.00%,4,6
51.20%,60,79,62.10%,33,37,36.00%,28,39,10.40%,0,8,17.50%,0,0,79.80%,4,5
71.00%,80,84,15.20%,11,22,4.50%,14,19,33.80%,6,11,96.80%,12,16,59.10%,4,5
99.50%,160,179,86.50%,44,51,41.80%,28,29,46.20%,6,13,18.80%,0,4,39.30%,2,4
83.50%,100,105,59.20%,33,43,22.00%,28,33,37.70%,6,10,67.40%,4,7,15.30%,2,4
38.20%,60,64,85.70%,44,51,99.70%,84,85,56.60%,6,9,95.10%,8,10,10.40%,2,4
3.30%,20,24,32.90%,22,26,39.40%,28,29,19.30%,0,6,86.00%,4,8,44.10%,2,4
32.00%,60,62,89.40%,55,65,79.40%,42,50,3.70%,0,1,83.60%,4,6,31.90%,2,3
19.10%,40,52,52.60%,33,38,11.40%,14,16,26.90%,6,11,34.50%,0,3,17.40%,2,3
24.10%,40,45,14.90%,11,13,25.60%,28,37,65.20%,6,10,63.80%,0,3,96.40%,6,7
39.40%,60,74,61.00%,33,46,94.50%,56,64,99.70%,30,34,47.20%,0,4,52.20%,4,5
77.50%,80,95,65.70%,33,47,51.20%,28,34,36.40%,6,7,61.40%,0,2,68.10%,4,6
93.80%,120,126,62.90%,33,44,4.50%,14,25,96.90%,24,25,84.70%,4,5,32.70%,2,3
11.70%,40,55,70.30%,33,35,53.20%,28,32,18.60%,0,1,87.90%,4,7,84.60%,4,5
56.40%,60,77,43.20%,22,34,39.40%,28,31,6.60%,0,8,0.90%,0,4,84.80%,4,6
87.60%,100,103,51.20%,33,37,2.00%,14,25,48.30%,6,11,24.00%,0,1,76.80%,4,5
16.20%,40,48,61.20%,33,36,15.90%,14,19,85.10%,12,15,24.20%,0,4,0.20%,0,0
47.20%,60,67,18.10%,22,32,3.40%,14,20,36.40%,6,9,42.30%,0,1,6.10%,0,1
0.90%,0,9,57.70%,33,43,90.10%,56,64,68.80%,12,14,12.80%,0,4,26.20%,2,4
67.60%,80,91,20.60%,22,23,14.20%,14,21,53.80%,6,9,34.00%,0,1,48.90%,4,5
43.20%,60,77,76.30%,44,46,36.20%,28,37,92.00%,18,19,95.00%,8,10,52.70%,4,6
18.00%,40,49,2.80%,11,16,27.20%,28,39,97.70%,24,29,32.20%,0,3,19.20%,2,4
49.40%,60,67,3.00%,11,12,80.20%,42,48,43.70%,6,11,14.40%,0,3,73.60%,4,6
49.30%,60,80,24.90%,22,33,5.70%,14,17,91.80%,18,23,60.50%,0,4,52.00%,4,5
9.20%,20,37,4.80%,11,17,46.40%,28,39,15.90%,0,4,2.70%,0,4,63.70%,4,6
72.60%,80,81,44.10%,33,36,72.40%,42,47,94.90%,18,26,60.50%,0,2,77.10%,4,5
81.80%,100,104,84.20%,44,48,26.80%,28,33,66.20%,6,13,59.10%,0,2,95.70%,6,7
85.30%,100,109,23.90%,22,32,76.20%,42,53,48.30%,6,9,76.90%,4,5,53.50%,4,6
9.80%,40,55,49.30%,33,35,28.60%,28,34,10.10%,0,0,51.40%,0,3,61.60%,4,5
65.10%,80,82,15.80%,11,22,96.30%,70,76,86.80%,12,15,68.70%,4,5,62.30%,4,6
93.00%,120,137,63.00%,33,35,75.60%,42,48,66.40%,6,7,49.10%,0,0,20.80%,2,3
10.40%,40,50,75.40%,44,57,92.20%,56,60,35.90%,6,13,58.50%,0,3,17.30%,2,3
56.40%,60,65,17.00%,11,23,15.30%,14,18,16.60%,0,8,55.10%,0,1,45.10%,2,3
44.60%,60,66,36.20%,22,31,92.10%,56,64,41.70%,6,14,75.40%,4,6,82.80%,4,5
75.30%,80,94,84.10%,44,49,20.00%,28,30,54.10%,6,12,41.00%,0,0,6.80%,0,1
19.50%,40,43,21.10%,22,32,82.70%,42,47,39.30%,6,14,40.20%,0,4,11.40%,2,4
84.70%,100,117,89.20%,55,69,33.10%,28,38,70.50%,12,17,76.50%,4,6,69.10%,4,6
34.40%,60,74,74.10%,44,53,41.90%,28,34,87.90%,12,16,47.70%,0,1,28.80%,2,4
43.50%,60,68,13.50%,11,21,29.70%,28,37,30.30%,6,10,34.20%,0,3,82.00%,4,5
74.80%,80,97,98.40%,66,69,51.00%,28,30,52.50%,6,12,91.10%,8,10,29.60%,2,4
37.20%,60,72,67.40%,33,38,80.60%,42,49,86.70%,12,13,86.00%,4,6,29.30%,2,4
71.50%,80,86,97.90%,66,71,57.50%,28,34,17.30%,0,5,48.00%,0,2,51.50%,4,5
